iter	Passed	Remaining
0	2	211
1	4	204
2	6	204
3	7	184
4	9	178
5	10	167
6	12	165
7	13	156
8	15	154
9	16	151
10	18	147
11	19	144
12	20	140
13	22	138
14	23	134
15	24	129
16	26	127
17	27	124
18	28	122
19	29	119
20	30	116
21	32	114
22	33	112
23	35	111
24	36	109
25	37	107
26	39	105
27	40	104
28	41	101
29	42	100
30	44	98
31	45	96
32	46	94
33	47	92
34	48	90
35	49	88
36	50	86
37	51	84
38	52	82
39	54	81
40	55	79
41	55	76
42	56	75
43	57	73
44	58	71
45	59	70
46	60	68
47	62	67
48	63	65
49	64	64
50	65	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	71	53
57	72	52
58	73	50
59	74	49
60	75	48
61	76	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	85	36
70	86	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	99	21
82	100	20
83	100	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	110	9
92	111	8
93	112	7
94	113	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
